LATISANA LIGNANO B., CERVIGNANO A.G., 18
CERVIGNANO A.G., TRIESTE AIRPORT, 10
TRIESTE AIRPORT, MONFALCONE, 6
MONFALCONE, TRIESTE CENTRALE, 25
ROVIGO, TERME EUGANEE-ABANO-MONTEGR., 16
TERME EUGANEE-ABANO-MONTEGR., PADOVA, 13
PADOVA, MONSELICE, -16
MONSELICE, ROVIGO, -28
FIRENZE RIFREDI, FIRENZE CAMPO MARTE, 1409
MILANO CENTRALE, MILANO LAMBRATE, 4
MILANO LAMBRATE, MILANO ROGOREDO, 10
PRATO CENTRALE, FIRENZE S.M.N., 22
FIRENZE S.M.N., AREZZO, 69
TERONTOLA CORTONA, PERUGIA, 8
BOLOGNA C.LE, FAENZA, 36
FAENZA, FORLI`, 10
FORLI`, CESENA, 13
CESENA, RIMINI, 27
RIMINI, RICCIONE, 9
RICCIONE, PESARO, 18
PESARO, FANO, 9
FANO, SENIGALLIA, 12
SENIGALLIA, ANCONA, 29
ANCONA, CIVITANOVA MARCHE, 27
CIVITANOVA MARCHE, PORTO S. GIORGIO FERMO, 17
PORTO S. GIORGIO FERMO, S.BENEDETTO DEL TRONTO, 20
S.BENEDETTO DEL TRONTO, GIULIANOVA, 15
GIULIANOVA, PESCARA, 23
PESCARA, VASTO S.SALVO, 37
VASTO S.SALVO, TERMOLI, 15
TERMOLI, SAN SEVERO, 32
SAN SEVERO, FOGGIA, 19
BARLETTA, TRANI, -6
TRANI, BISCEGLIE, -7
BISCEGLIE, MOLFETTA, -8
MOLFETTA, BARI CENTRALE, 11
LODI, MILANO CENTRALE, 28
ANCONA, LORETO, 0
LORETO, CIVITANOVA MARCHE, -5
TERMOLI, CHIEUTI SERRACAPRIOLA, -6
CHIEUTI SERRACAPRIOLA, SAN SEVERO, 6
BARI CENTRALE, GIOIA DEL COLLE, 23
GIOIA DEL COLLE, TARANTO, 16
TARANTO, VILLA CASTELLI, 2
VILLA CASTELLI, FRANCAVILLA FONTANA, -10
FRANCAVILLA FONTANA, BRINDISI, 7
MILANO PORTA GARIBALDI, MILANO ROGOREDO, 18
BARI CENTRALE, POLIGNANO A MARE, 18
POLIGNANO A MARE, MONOPOLI, 5
MONOPOLI, BARI CENTRALE, 25
BRINDISI, FRANCAVILLA FONTANA, 48
FRANCAVILLA FONTANA, TARANTO, 28
TARANTO, GIOIA DEL COLLE, 46
GIOIA DEL COLLE, BARI CENTRALE, 44
CIVITANOVA MARCHE, LORETO, 8
LORETO, ANCONA, 13
VENTIMIGLIA, SANREMO, 11
SANREMO, IMPERIA, 13
GENOVA P.PRINCIPE, VOGHERA, 61
VOGHERA, PAVIA, 14
PAVIA, MILANO CENTRALE, 30
IMPERIA, SANREMO, 4
